CustomerID,CustomerName,Segment,Country,City,State,Region,OrderFrequency
BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,Weekly
BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,Bi-weekly
BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,Monthly
LR-16915,Lena Radford,Consumer,United States,Los Angeles,California,West,Weekly
CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,Bi-weekly
CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,Monthly
CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,Weekly
BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,Central,Bi-weekly
BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,Central,Monthly
EB-13975,Erica Bern,Corporate,United States,Charlotte,North Carolina,South,Weekly
BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,East,Bi-weekly
BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,East,Monthly
AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,Weekly
AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,Bi-weekly
AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,Monthly
DW-13480,Dianna Wilson,Home Office,United States,Oakland,California,West,Weekly
NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas,Central,Bi-weekly
NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas,Central,Monthly
JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,Central,Weekly
JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,Central,Bi-weekly
VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,Monthly
VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,Weekly
